t,x_L,x_R
3.865,-0.8913560015544739,0.7905592535018306
3.87,-0.773844796851141,0.6573855802340852
3.875,-0.6422410703230078,0.5169957721605117
3.88,-0.5039744388613399,0.3628648844387703
3.8850000000000002,-0.3578725039090295,0.2094799328322608
3.89,-0.20290048727466284,0.051375836823703475
3.895,-0.04173218620494862,-0.10420857551711958
3.9,0.11013458643322356,-0.2666423257531909
3.9050000000000002,0.26238018793865747,-0.41583423714601503
3.91,0.41148990858417955,-0.5637034393073211
3.915,0.5585289777643108,-0.6998597404637531
3.92,0.6905908760053473,-0.8293333215317449
3.9250000000000003,0.8205115093330082,-0.9408841459641595
3.93,0.9291970702730612,-1.041373695463277
3.935,1.0305437319301571,-1.1277898182150115
3.94,1.110882264178262,-1.1932537253407034
3.9450000000000003,1.170384639111561,-1.2423087665888803
3.95,1.2051618421775288,-1.2806035454503766
3.955,1.229833714213185,-1.2809266934504555
3.96,1.2403482317048173,-1.2699071596709335
3.9650000000000003,1.2244439067476587,-1.2313520847379067
3.97,1.193577724538788,-1.1728860722907137
3.975,1.1374380971450921,-1.1023379576707464
3.98,1.0667399216000288,-1.0165098839869844
3.985,0.9820403335035564,-0.9135218200639783
3.99,0.8759536050815422,-0.7929408300604927
3.995,0.7511083821116007,-0.6598943710028267
4.0,0.6200906813386096,-0.5173093192258293
4.005,0.48159743356440615,-0.3613369522903033
4.01,0.33079459776122005,-0.20501331895906383
4.015,0.17523392419859193,-0.04486015458595404
4.0200000000000005,0.020073100110181742,0.11439254929005398
4.025,-0.13509221985233064,0.272640787106802
4.03,-0.29154641830418015,0.42199164413342
4.035,-0.44107834407350877,0.5695840030028074
4.04,-0.5870786654928807,0.7134879508162839
4.045,-0.7278391425420646,0.8461148218760401
4.05,-0.8552815347699384,0.9597180792309443
4.055,-0.9687459113781974,1.0569376160759072
4.0600000000000005,-1.0592099896376244,1.1391985032621692
4.065,-1.1347929252167392,1.2067778692982338
4.07,-1.1917928585525892,1.2498937017865392
4.075,-1.2329649592480798,1.273880504917273
4.08,-1.256875315881996,1.2801757203681345
4.085,-1.2655278494712876,1.2681929561487841
4.09,-1.2500706861855415,1.2341657945730473
4.095,-1.2049152418733056,1.1805140798327176
4.1,-1.1477914479890525,1.10557045508535
4.105,-1.0763997715178073,1.0143174583096966
4.11,-0.9878508720627063,0.9137352728803851
4.115,-0.8754373574897851,0.7943597812804318
4.12,-0.7545002745739704,0.6574266327233398
4.125,-0.62697593415284,0.5147155305214213
4.13,-0.48145222528502724,0.3634551316531992
4.135,-0.3287943378665014,0.20884255967553286
4.14,-0.17282486519316942,0.04986608390912051
4.1450000000000005,-0.010699555184900424,-0.11288870805756716
4.15,0.15808710918369326,-0.27391635516192386
4.155,0.3098304598295893,-0.4273855535784778
4.16,0.46666300341217576,-0.5772272913727781
4.165,0.6145300280597549,-0.7155891609935108
4.17,0.7496519878439717,-0.8385765322583001
4.175,0.8746102733285114,-0.9586013191516145
4.18,0.9829864594470729,-1.0590714688804985
4.1850000000000005,1.0764208866413203,-1.1415492140773407
4.19,1.1595030628303156,-1.2012203471496266
4.195,1.2172516077934106,-1.2437677192183902
4.2,1.2606026349501431,-1.2704425509273087
4.205,1.2816045093800295,-1.2741894133344858
4.21,1.2773997539565431,-1.257831395710551
4.215,1.257799847260145,-1.2236607275997786
4.22,1.2172995071484836,-1.172171628346849
4.225,1.1635472888271392,-1.1004745225252401
4.23,1.0854341845722992,-1.0056188468161937
4.235,0.9879374992456748,-0.9002882308485415
4.24,0.87258182048816,-0.7797981840289234
4.245,0.7489362988933863,-0.6510671576689145
